GUGUN,치안율18
중구,75.47981854135162
남구,80.24879965080751
남동,81.5540289639807
부평구,81.59709163846055
서구,82.80074539305679
계양구,89.5453409942543
강화구,86.14457831325302
연수구,88.12034303388162
삼산구,85.33888228299644
논현구,83.29478740437645
