,도서관수,시장수,공원수,인구수,아파트평당가격
남구,37.0,9.0,108.0,336914.0,924.0
동구,5.0,7.0,73.0,169673.0,726.0
북구,7.0,2.0,52.0,207284.0,710.0
울주군,14.0,7.0,0,228528.0,709.0
중구,26.0,17.0,116.0,237012.0,883.0
호계동,0,0,1.0,0,0
