BASE_YEAR,BASE_MONTH,GU_DC,PC20_CNT,PC40_CNT,PC60_CNT,PC61_CNT
2016,3,동구,25942,40183,3010,861
2016,3,동래구,66032,126385,16883,7633
2016,3,부산진구,98764,176951,18945,7141
2016,3,북구,75786,140351,16883,6371
2016,3,사상구,66377,118880,9965,2603
2016,3,사하구,85614,163002,16415,5256
2016,3,서구,28889,47614,4474,1704
2016,3,수영구,45194,86404,10083,4937
2016,3,연제구,50593,97528,12715,5745
2016,3,영도구,33655,54615,4361,1234
2016,3,중구,12674,20948,1493,364
2016,3,해운대구,97900,192220,30554,19746
2016,6,강서구,15930,40609,6250,2855
2016,6,금정구,68336,112953,14173,7048
2016,6,기장군,26725,60548,8712,3488
2016,6,남구,71554,118318,13720,5866
2016,6,동구,25322,39326,3032,835
2016,6,동래구,65365,126377,17101,7906
2016,6,부산진구,97986,176372,19327,7333
2016,6,북구,75851,142642,17814,6759
2016,6,사상구,65608,117222,9884,2634
2016,6,사하구,85423,163448,16618,5454
2016,6,서구,29038,47841,4526,1741
2016,6,수영구,44800,86383,10266,5041
2016,6,연제구,49445,95183,12323,5647
2016,6,영도구,34686,57032,4616,1325
2016,6,중구,12549,20776,1531,386
2016,6,해운대구,97051,191638,30877,20415
2016,9,강서구,16157,41561,6599,3002
2016,9,금정구,68453,112926,14254,7180
2016,9,기장군,26926,61097,8945,3679
2016,9,남구,71316,118327,13868,6017
2016,9,동구,25310,39429,3052,854
2016,9,동래구,64999,126276,17124,8169
2016,9,부산진구,97694,176473,19642,7532
2016,9,북구,75822,143380,18061,7035
2016,9,사상구,65409,117296,10006,2703
2016,9,사하구,85083,163666,16741,5530
2016,9,서구,29069,48012,4558,1765
2016,9,수영구,44705,86458,10522,5114
2016,9,연제구,49370,94824,12380,5853
2016,9,영도구,34569,57093,4659,1360
2016,9,중구,12729,20793,1567,382
2016,9,해운대구,96604,192230,31300,21017
2016,12,강서구,15836,41771,6783,3149
2016,12,금정구,68124,111681,14151,7330
2016,12,기장군,26856,60961,9118,3841
2016,12,남구,71784,118058,13919,6225
2016,12,동구,25507,39196,3125,879
2016,12,동래구,64914,125160,17207,8393
2016,12,부산진구,97861,175954,19748,7749
2016,12,북구,75051,141589,18209,7263
