BASE_YEAR,BASE_MONTH,GU_DC,PY30_AVG_VALUE,PY40_AVG_VALUE
2017,6,영도구,-0.6,-0.3
2017,6,중구,0.2,0
2017,6,해운대구,0.7,0.2
2017,9,강서구,0.2,-0.2
2017,9,금정구,0,0
2017,9,기장군,-0.4,0
2017,9,남구,-0.7,-0.1
2017,9,동구,-0.2,-0.2
2017,9,동래구,0.2,0
2017,9,부산진구,0.2,-0.1
2017,9,북구,1.9,0.2
2017,9,사상구,-0.1,0.2
2017,9,사하구,0,0.1
2017,9,서구,-0.8,-0.7
2017,9,수영구,-0,0.5
2017,9,연제구,0.3,0.1
2017,9,영도구,0.1,-0.3
2017,9,중구,0.1,0.1
2017,9,해운대구,0.6,0.2
2017,12,강서구,0.1,-0.1
2017,12,금정구,0.2,0.1
2017,12,기장군,-0.6,0
2017,12,남구,-0.3,0
2017,12,동구,-0.8,-0.1
2017,12,동래구,-0,0
2017,12,부산진구,0.2,-0
2017,12,북구,0.2,0
2017,12,사상구,0.1,0
2017,12,사하구,-0.1,0.1
2017,12,서구,-0.7,-0.7
2017,12,수영구,0.4,0.6
2017,12,연제구,0.3,0.2
2017,12,영도구,0.1,-0.2
2017,12,중구,-0.1,0.1
2017,12,해운대구,0.1,0
2018,3,강서구,7.5,-0.1
2018,3,금정구,1,-0.2
2018,3,기장군,-0.2,-0.3
2018,3,남구,1.5,1.4
2018,3,동구,-1.1,-0.2
2018,3,동래구,-0.6,-1.1
2018,3,부산진구,1.4,0.4
2018,3,북구,-4,-0.3
2018,3,사상구,0.1,0.1
2018,3,사하구,-1.8,-0.7
2018,3,서구,-0.5,-0.1
2018,3,수영구,0.8,0.2
2018,3,연제구,0.2,-0.1
2018,3,영도구,-0.2,-0.2
2018,3,중구,-0.3,-0.1
2018,3,해운대구,0.4,0.4
2018,6,강서구,7.5,-0.1
2018,6,금정구,1,-0.2
2018,6,기장군,-0,-0.3
2018,6,남구,1.6,1.4
2018,6,동구,-1,-0.1
2018,6,동래구,-0.6,-1.2
2018,6,부산진구,1.4,0.5
2018,6,북구,-3.9,-0.3
2018,6,사상구,0.1,0.1
2018,6,사하구,-1.9,-0.7
2018,6,서구,-0.3,-0.1
2018,6,수영구,0.8,0.1
2018,6,연제구,0,-0
2018,6,영도구,0.6,0.2
2018,6,중구,-0.4,-0.2
2018,6,해운대구,0.4,0.4
2018,9,강서구,5.4,-0.5
2018,9,금정구,0.9,-0.2
2018,9,기장군,-0,-0.3
2018,9,남구,1.8,1.7
2018,9,동구,-0.9,-0.1
2018,9,동래구,0.6,-0.5
2018,9,부산진구,1.1,3
2018,9,북구,2.8,-0.5
2018,9,사상구,-0.3,0.1
2018,9,사하구,0,-0
2018,9,서구,-0.6,-0.1
2018,9,수영구,0.7,-0
2018,9,연제구,-3,-0.5
2018,9,영도구,-0.3,0.1
2018,9,중구,-0,-0.1
2018,9,해운대구,0.4,0.2
2018,12,강서구,5.3,-0.5
2018,12,금정구,0.8,-0.5
2018,12,기장군,-11.7,-0.9
2018,12,남구,0.6,1.4
2018,12,동구,-0.4,-0.2
2018,12,동래구,-0.9,-1.6
2018,12,부산진구,1.8,3
2018,12,북구,2.7,-0.5
2018,12,사상구,-0.2,-0.1
2018,12,사하구,-0.4,-0.1
2018,12,서구,-1.5,-0.1
2018,12,수영구,0.7,0
2018,12,연제구,-3.7,-0
2018,12,영도구,0.1,-0.2
2018,12,중구,22.2,-1
2018,12,해운대구,0.4,0.5
