BASE_YEAR,BASE_MONTH,MANAGE_CODE_NAME,CLASS_NO_NAME,AGE_DC,VALUE
2019,1,구덕도서관,예술,30,22
2019,1,구덕도서관,예술,40,42
2019,1,구덕도서관,예술,50,117
2019,1,구덕도서관,예술,60,36
2019,1,구덕도서관,예술,70,29
2019,1,구덕도서관,예술,80,3
2019,1,구덕도서관,자연과학,10,124
2019,1,구덕도서관,자연과학,100,11
2019,1,구덕도서관,자연과학,20,225
2019,1,구덕도서관,자연과학,30,8
2019,1,구덕도서관,자연과학,40,74
2019,1,구덕도서관,자연과학,50,222
2019,1,구덕도서관,자연과학,60,30
2019,1,구덕도서관,자연과학,70,7
2019,1,구덕도서관,자연과학,80,8
2019,1,구덕도서관,종교,10,3
2019,1,구덕도서관,종교,20,7
2019,1,구덕도서관,종교,30,7
2019,1,구덕도서관,종교,40,24
2019,1,구덕도서관,종교,50,37
2019,1,구덕도서관,종교,60,22
2019,1,구덕도서관,종교,70,18
2019,1,구덕도서관,철학,10,4
2019,1,구덕도서관,철학,100,1
2019,1,구덕도서관,철학,20,42
2019,1,구덕도서관,철학,30,31
2019,1,구덕도서관,철학,40,49
2019,1,구덕도서관,철학,50,58
2019,1,구덕도서관,철학,60,35
2019,1,구덕도서관,철학,70,27
2019,1,구덕도서관,철학,80,4
2019,1,구덕도서관,철학,90,3
2019,1,구덕도서관,총류,10,16
2019,1,구덕도서관,총류,100,3
2019,1,구덕도서관,총류,20,11
2019,1,구덕도서관,총류,30,12
2019,1,구덕도서관,총류,40,15
2019,1,구덕도서관,총류,50,30
2019,1,구덕도서관,총류,60,13
2019,1,구덕도서관,총류,70,3
2019,1,구덕도서관,총류,80,1
2019,1,구포도서관,기술과학,10,47
2019,1,구포도서관,기술과학,20,115
2019,1,구포도서관,기술과학,30,121
2019,1,구포도서관,기술과학,40,180
2019,1,구포도서관,기술과학,50,254
2019,1,구포도서관,기술과학,60,160
2019,1,구포도서관,기술과학,70,80
2019,1,구포도서관,기술과학,80,16
2019,1,구포도서관,기술과학,90,1
2019,1,구포도서관,문학,10,470
2019,1,구포도서관,문학,100,3
2019,1,구포도서관,문학,20,1123
2019,1,구포도서관,문학,30,561
2019,1,구포도서관,문학,40,805
2019,1,구포도서관,문학,50,1567
2019,1,구포도서관,문학,60,757
2019,1,구포도서관,문학,70,357
2019,1,구포도서관,문학,80,183
2019,1,구포도서관,문학,90,13
2019,1,구포도서관,사회과학,10,66
2019,1,구포도서관,사회과학,20,211
2019,1,구포도서관,사회과학,30,245
2019,1,구포도서관,사회과학,40,293
2019,1,구포도서관,사회과학,50,410
2019,1,구포도서관,사회과학,60,191
2019,1,구포도서관,사회과학,70,77
2019,1,구포도서관,사회과학,80,14
2019,1,구포도서관,사회과학,90,1
2019,1,구포도서관,언어,10,46
2019,1,구포도서관,언어,20,108
2019,1,구포도서관,언어,30,84
2019,1,구포도서관,언어,40,88
2019,1,구포도서관,언어,50,177
2019,1,구포도서관,언어,60,57
2019,1,구포도서관,언어,70,52
2019,1,구포도서관,언어,90,8
2019,1,구포도서관,역사,10,62
2019,1,구포도서관,역사,20,194
2019,1,구포도서관,역사,30,97
2019,1,구포도서관,역사,40,102
2019,1,구포도서관,역사,50,241
2019,1,구포도서관,역사,60,100
2019,1,구포도서관,역사,70,76
2019,1,구포도서관,역사,80,12
2019,1,구포도서관,예술,10,13
2019,1,구포도서관,예술,20,59
2019,1,구포도서관,예술,30,60
2019,1,구포도서관,예술,40,36
2019,1,구포도서관,예술,50,98
2019,1,구포도서관,예술,60,64
2019,1,구포도서관,예술,70,48
2019,1,구포도서관,예술,80,18
2019,1,구포도서관,자연과학,10,163
2019,1,구포도서관,자연과학,20,356
2019,1,구포도서관,자연과학,30,35
2019,1,구포도서관,자연과학,40,88
2019,1,구포도서관,자연과학,50,322
2019,1,구포도서관,자연과학,60,45
2019,1,구포도서관,자연과학,70,49
2019,1,구포도서관,자연과학,80,21
2019,1,구포도서관,자연과학,90,1
2019,1,구포도서관,종교,10,16
2019,1,구포도서관,종교,20,11
2019,1,구포도서관,종교,30,15
2019,1,구포도서관,종교,40,17
2019,1,구포도서관,종교,50,48
2019,1,구포도서관,종교,60,86
2019,1,구포도서관,종교,70,28
2019,1,구포도서관,종교,80,18
2019,1,구포도서관,철학,10,9
2019,1,구포도서관,철학,20,85
2019,1,구포도서관,철학,30,89
2019,1,구포도서관,철학,40,95
2019,1,구포도서관,철학,50,140
2019,1,구포도서관,철학,60,129
2019,1,구포도서관,철학,70,50
2019,1,구포도서관,철학,80,21
2019,1,구포도서관,총류,10,20
2019,1,구포도서관,총류,20,60
2019,1,구포도서관,총류,30,56
2019,1,구포도서관,총류,40,77
2019,1,구포도서관,총류,50,120
2019,1,구포도서관,총류,60,65
2019,1,구포도서관,총류,70,21
