BASE_YEAR,BASE_MONTH,GU_DC,WORKTIME_DC,MV_CNT
2016,6,북구,출근,16569
2016,6,북구,퇴근,18648
2016,6,사상구,출근,24516
2016,6,사상구,퇴근,23083
2016,6,사하구,출근,19388
2016,6,사하구,퇴근,18997
2016,6,서구,출근,9185
2016,6,서구,퇴근,8521
2016,6,수영구,출근,13693
2016,6,수영구,퇴근,16046
2016,6,연제구,출근,14921
2016,6,연제구,퇴근,16880
2016,6,영도구,출근,10019
2016,6,영도구,퇴근,9157
2016,6,중구,출근,7760
2016,6,중구,퇴근,10484
2016,6,해운대구,출근,20257
2016,6,해운대구,퇴근,23550
2016,7,강서구,출근,31182
2016,7,강서구,퇴근,21099
2016,7,금정구,출근,11374
2016,7,금정구,퇴근,11733
2016,7,기장군,출근,30275
2016,7,기장군,퇴근,28172
2016,7,남구,출근,12097
2016,7,남구,퇴근,12794
2016,7,동구,출근,7172
2016,7,동구,퇴근,7146
2016,7,동래구,출근,18275
2016,7,동래구,퇴근,20194
2016,7,부산진구,출근,13988
2016,7,부산진구,퇴근,16620
2016,7,북구,출근,16861
2016,7,북구,퇴근,18288
2016,7,사상구,출근,23861
2016,7,사상구,퇴근,21655
2016,7,사하구,출근,19253
2016,7,사하구,퇴근,18388
2016,7,서구,출근,8680
2016,7,서구,퇴근,7808
2016,7,수영구,출근,13869
2016,7,수영구,퇴근,16166
2016,7,연제구,출근,14733
2016,7,연제구,퇴근,16206
2016,7,영도구,출근,9672
2016,7,영도구,퇴근,8431
2016,7,중구,출근,9453
2016,7,중구,퇴근,11834
2016,7,해운대구,출근,20423
2016,7,해운대구,퇴근,23444
2016,8,강서구,출근,30048
2016,8,강서구,퇴근,19848
2016,8,금정구,출근,11489
2016,8,금정구,퇴근,11840
2016,8,기장군,출근,30049
2016,8,기장군,퇴근,28187
2016,8,남구,출근,12042
2016,8,남구,퇴근,12668
2016,8,동구,출근,7172
2016,8,동구,퇴근,7101
2016,8,동래구,출근,18330
2016,8,동래구,퇴근,20265
2016,8,부산진구,출근,14401
2016,8,부산진구,퇴근,16969
2016,8,북구,출근,16182
2016,8,북구,퇴근,17570
2016,8,사상구,출근,23412
2016,8,사상구,퇴근,21138
2016,8,사하구,출근,19048
2016,8,사하구,퇴근,18152
2016,8,서구,출근,8676
2016,8,서구,퇴근,7733
2016,8,수영구,출근,13910
2016,8,수영구,퇴근,16262
2016,8,연제구,출근,14940
2016,8,연제구,퇴근,16390
2016,8,영도구,출근,9557
2016,8,영도구,퇴근,8353
2016,8,중구,출근,10192
2016,8,중구,퇴근,12413
2016,8,해운대구,출근,20456
2016,8,해운대구,퇴근,23858
2016,9,강서구,출근,28153
2016,9,강서구,퇴근,19004
2016,9,금정구,출근,11778
2016,9,금정구,퇴근,12425
2016,9,기장군,출근,29522
2016,9,기장군,퇴근,27310
2016,9,남구,출근,12395
2016,9,남구,퇴근,13095
2016,9,동구,출근,7192
2016,9,동구,퇴근,7171
2016,9,동래구,출근,18643
2016,9,동래구,퇴근,20645
2016,9,부산진구,출근,14896
2016,9,부산진구,퇴근,17645
2016,9,북구,출근,16392
2016,9,북구,퇴근,17720
2016,9,사상구,출근,22957
2016,9,사상구,퇴근,21410
2016,9,사하구,출근,19204
2016,9,사하구,퇴근,18291
2016,9,서구,출근,8606
2016,9,서구,퇴근,7734
2016,9,수영구,출근,14090
2016,9,수영구,퇴근,15926
2016,9,연제구,출근,14996
2016,9,연제구,퇴근,16424
2016,9,영도구,출근,9431
2016,9,영도구,퇴근,8383
2016,9,중구,출근,10259
2016,9,중구,퇴근,12344
2016,9,해운대구,출근,20123
2016,9,해운대구,퇴근,22492
2016,10,강서구,출근,28737
2016,10,강서구,퇴근,19591
2016,10,금정구,출근,11503
2016,10,금정구,퇴근,12389
2016,10,기장군,출근,28453
2016,10,기장군,퇴근,26571
2016,10,남구,출근,11813
2016,10,남구,퇴근,12983
2016,10,동구,출근,7038
2016,10,동구,퇴근,7228
2016,10,동래구,출근,18123
2016,10,동래구,퇴근,20604
2016,10,부산진구,출근,14460
2016,10,부산진구,퇴근,17454
2016,10,북구,출근,15734
2016,10,북구,퇴근,17556
2016,10,사상구,출근,22233
