BASE_YEAR,BASE_MONTH,GU_DC,PY_AVG_PC
2017,12,중구,500
2017,12,해운대구,1000
2018,3,강서구,900
2018,3,금정구,900
2018,3,기장군,700
2018,3,남구,900
2018,3,동구,500
2018,3,동래구,1000
2018,3,부산진구,900
2018,3,북구,700
2018,3,사상구,700
2018,3,사하구,500
2018,3,서구,800
2018,3,수영구,1100
2018,3,연제구,800
2018,3,영도구,500
2018,3,중구,500
2018,3,해운대구,1000
2018,6,강서구,900
2018,6,금정구,900
2018,6,기장군,700
2018,6,남구,900
2018,6,동구,500
2018,6,동래구,1000
2018,6,부산진구,900
2018,6,북구,700
2018,6,사상구,700
2018,6,사하구,500
2018,6,서구,800
2018,6,수영구,1100
2018,6,연제구,800
2018,6,영도구,500
2018,6,중구,500
2018,6,해운대구,1000
2018,9,강서구,900
2018,9,금정구,900
2018,9,기장군,700
2018,9,남구,800
2018,9,동구,500
2018,9,동래구,1000
2018,9,부산진구,900
2018,9,북구,800
2018,9,사상구,700
2018,9,사하구,500
2018,9,서구,800
2018,9,수영구,1100
2018,9,연제구,900
2018,9,영도구,500
2018,9,중구,500
2018,9,해운대구,1000
2018,12,강서구,900
2018,12,금정구,900
2018,12,기장군,800
2018,12,남구,800
2018,12,동구,500
2018,12,동래구,1000
2018,12,부산진구,900
2018,12,북구,800
2018,12,사상구,700
2018,12,사하구,500
2018,12,서구,800
2018,12,수영구,1100
2018,12,연제구,900
2018,12,영도구,500
2018,12,중구,500
2018,12,해운대구,1000
